trade_date,baseline,direction_A,sigma_yy_E,dir_A+sigE,disabled
2015-02-27,0.009488796688659682,0.009809034872602354,0.010702974495919287,0.010867572616031104,0.009896894141066141
2015-03-02,0.007634826823318994,0.007863485718936662,0.007219512031985503,0.007541458493621677,0.007762835593871412
2015-03-03,0.01197463206592721,0.011611482236338393,0.012589775975122338,0.012064691774524282,0.011612055685839668
2015-03-04,-0.003802405045621591,-0.003493561093413457,-0.004563623703805196,-0.003992296511509463,-0.003195605783419055
2015-03-05,0.006329740725215866,0.00873205174019497,0.007188861934784883,0.0096456534625753,0.006220719758520805
2015-03-06,0.0031510853375823727,-0.002676261256907831,0.001421114243580182,-0.002379334603941628,0.0045154950156253305
2015-03-09,0.0023367009917803863,0.002203869687960394,0.0022321800876029096,0.0022143786711573466,0.0029268782635992786
2015-03-10,0.006371999441693419,-0.014913941132372205,0.006177249188593456,-0.015648509645043496,0.007554303886183627
2015-03-11,0.00028512205934952514,0.002258126625198496,0.0004161829225744749,0.002528708306675013,-0.000622314314226935
2015-03-12,0.015936877565888193,0.008017414122463248,0.018844345621922935,0.011266544076028007,0.012996441781953682
2015-03-13,0.0022582683180127736,-0.004231228041492053,0.0014038404342943546,-0.004525876506220881,0.0021700384710053398
2015-03-16,-0.006457653522292978,0.0041515100903595815,-0.006379125747269223,0.0012713096456031907,-0.0076186367935201765
2015-03-17,0.0025923952489268678,0.0004435233945500282,0.0021550742507309723,0.00019825912899921398,0.0033340993222775663
2015-03-18,0.00038000403800280726,-0.001775115739762661,0.00020755764632948508,-0.002475689414186459,-6.33159020891783e-05
2015-03-19,0.009089812124867895,-0.0012837845991253648,0.008632331981559788,-0.0009451621379126284,0.010251276073068399
