trade_date,raw_pca,residual_pca,raw_blpx,residual_blpx
2020-03-05,0.3358735159932608,0.11911247636987266,0.315561672067183,0.22945233556968356
2020-03-06,0.3378913407796592,0.11803697240458016,0.3133742163305597,0.2306974704852009
2020-03-09,0.3371000945875373,0.11808797912547701,0.31377620346418766,0.2310357228227979
2020-03-10,0.33767526122067026,0.11777808576620809,0.3128000828973223,0.23174657011579927
2020-03-11,0.34291333133511653,0.1155310733181037,0.2996719183049125,0.24188367704186722
2020-03-12,0.33538266985435816,0.11954470939140589,0.3110380985513421,0.2340345222028938
2020-03-13,0.3347499577621654,0.11996030597384882,0.3156017481919307,0.22968798807205512
2020-03-16,0.333360272297466,0.12019997252874891,0.31747972252857465,0.22896003264521048
2020-03-17,0.3305568658308441,0.12076099438632242,0.3204385042661611,0.22824363551667246
2020-03-18,0.3286247383992984,0.12095682527355354,0.30817386110050327,0.24224457522664475
2020-03-19,0.32540354704138674,0.12214324808957383,0.3144324847789247,0.2380207200901146
2020-03-23,0.32637810888855145,0.1221387371237723,0.3107276415157075,0.24075551247196886
2020-03-24,0.32920157211564843,0.12087366936678079,0.30926217101444536,0.2406625875031255
2020-03-25,0.3343664890641107,0.11911824971019624,0.307454130404589,0.239061130821104
2020-03-26,0.33434679339602796,0.11957692549132941,0.3106931776786827,0.23538310343396004
2020-03-27,0.3373540432887606,0.11872384827159037,0.3098656210345928,0.2340564874050562
2020-03-30,0.33613073515810743,0.11906139745551435,0.31077017295115617,0.23403769443522204
2020-03-31,0.33711684863975305,0.11889568889476132,0.31366686865678406,0.23032059380870154
2020-04-01,0.3394591687116733,0.1179895053073255,0.3081981179471189,0.23435320803388218
2020-04-02,0.3375588797187609,0.12097238111907671,0.3153693769286081,0.22609936223355434
2020-04-03,0.33810468967356033,0.12109768628663807,0.3151882309100583,0.22560939312974326
2020-04-06,0.337378526070506,0.12203094347600839,0.31601092736477243,0.22457960308871325
2020-04-07,0.33771878770403024,0.118912617347592,0.31463048303921715,0.2287381119091605
2020-04-08,0.34200217224689045,0.11703212684890112,0.3106057141959635,0.23035998670824487
2020-04-09,0.33709694392381784,0.12338604364977686,0.31646604323867583,0.22305096918772957
2020-04-10,0.33725294846760445,0.12283635750480108,0.3162000817177313,0.22371061230986328
2020-04-14,0.3370970195586233,0.12331503871661474,0.3165510972585528,0.22303684446620914
2020-04-15,0.3404587361695504,0.12222284733785578,0.3133912175377018,0.22392719895489197
2020-04-16,0.33948228766162897,0.12484216859089405,0.3147959049886215,0.22087963875885552
