feature,mean,std,pct_nonzero,pct_nan
int_sector_beta_hinge_pos_us_energy_return_k1_0_beta252,8.509039828524326e-06,0.0001669520792031541,0.12285963183525413,0.08739985433357611
int_sector_static_hinge_pos_us_financial_return_k1_0,0.005428747077038064,0.050717405936486444,0.04958370821015952,0.043699927166788055
int_sector_beta_hinge_pos_us_financial_return_k1_0_beta120,3.6586238458629135e-06,9.862215719595423e-05,0.11904659897462262,0.06058009511160618
int_sector_beta_hinge_pos_us_financial_return_k1_0_beta252,7.769634976284982e-06,0.00013603328192454597,0.11567627779443897,0.08739985433357611
int_sector_static_hinge_pos_us_industrial_return_k1_0,0.010421021174845583,0.07443442090202222,0.07426131413963984,0.043699927166788055
int_sector_beta_hinge_pos_us_industrial_return_k1_0_beta120,1.4488484847057975e-06,8.414098326193458e-05,0.12460191651314569,0.06058009511160618
int_sector_beta_hinge_pos_us_industrial_return_k1_0_beta252,3.993783461539771e-06,0.00011256291966723349,0.12146009168416091,0.08739985433357611
int_sector_static_hinge_pos_us_healthcare_return_k1_0,0.0028894980012739747,0.027881877347725594,0.044985219142281825,0.043699927166788055
int_sector_beta_hinge_pos_us_healthcare_return_k1_0_beta120,-4.76939729200331e-07,6.54571702967194e-05,0.12513031432529312,0.06058009511160618
int_sector_beta_hinge_pos_us_healthcare_return_k1_0_beta252,-9.736670043404366e-07,0.00010037428876268967,0.12131728146466161,0.08739985433357611
int_sector_static_hinge_pos_us_smallcap_return_k1_0,0.0036497273309058172,0.046531387049904435,0.021635748254145066,0.043699927166788055
int_sector_beta_hinge_pos_us_smallcap_return_k1_0_beta120,1.2878240209751334e-06,7.898067574835692e-05,0.1208460077403139,0.06058009511160618
int_sector_beta_hinge_pos_us_smallcap_return_k1_0_beta252,3.602799728768413e-06,0.00010930724536353303,0.11746140553818031,0.08739985433357611
int_sector_static_hinge_neg_us_tech_return_k1_0,0.007148807508372279,0.0690112631489519,0.060208788540907984,0.043699927166788055
int_sector_beta_hinge_neg_us_tech_return_k1_0_beta120,-3.8438370938305187e-07,8.553376779753178e-05,0.12571583622524027,0.06058009511160618
int_sector_beta_hinge_neg_us_tech_return_k1_0_beta252,-2.004924311916181e-06,0.00013850223351030095,0.12204561358410808,0.08739985433357611
int_sector_static_hinge_neg_us_semiconductor_return_k1_0,0.005284484630914471,0.04982509680823215,0.060551533067706324,0.043699927166788055
int_sector_beta_hinge_neg_us_semiconductor_return_k1_0_beta120,-2.8185796685091692e-06,0.00012603316023123359,0.12608714279593847,0.06058009511160618
int_sector_beta_hinge_neg_us_semiconductor_return_k1_0_beta252,-6.423311922804352e-06,0.00020778582299443846,0.1221455807377576,0.08739985433357611
int_sector_static_hinge_neg_us_energy_return_k1_0,0.003966776169054858,0.035000205504271215,0.061237022121303,0.043699927166788055
int_sector_beta_hinge_neg_us_energy_return_k1_0_beta120,7.970726245977723e-06,0.0001582080814282997,0.1274866829470317,0.06058009511160618
int_sector_beta_hinge_neg_us_energy_return_k1_0_beta252,1.5542364514375577e-05,0.00022879715948334733,0.123916427459549,0.08739985433357611
int_sector_static_hinge_neg_us_financial_return_k1_0,0.007441550226309978,0.07116761225325889,0.049683675363809035,0.043699927166788055
int_sector_beta_hinge_neg_us_financial_return_k1_0_beta120,5.674959432336902e-06,0.00011560730008292974,0.11811833254787713,0.06058009511160618
int_sector_beta_hinge_neg_us_financial_return_k1_0_beta252,1.216817702218032e-05,0.0001661320087712512,0.1142053325335961,0.08739985433357611
int_sector_static_hinge_neg_us_industrial_return_k1_0,0.014263622418730727,0.10597832233035305,0.07497536523713637,0.043699927166788055
int_sector_beta_hinge_neg_us_industrial_return_k1_0_beta120,3.4353379192396984e-06,9.801802952894619e-05,0.1250731902374934,0.06058009511160618
int_sector_beta_hinge_neg_us_industrial_return_k1_0_beta252,8.447809106747993e-06,0.0001421246544960792,0.1208460077403139,0.08739985433357611
int_sector_static_hinge_neg_us_healthcare_return_k1_0,0.0038302835361500674,0.037647948127588496,0.04609913885437642,0.043699927166788055
int_sector_beta_hinge_neg_us_healthcare_return_k1_0_beta120,1.8813580796660173e-07,7.637972911883107e-05,0.12774374134213043,0.06058009511160618
int_sector_beta_hinge_neg_us_healthcare_return_k1_0_beta252,6.876756800065159e-07,0.000106686952517659,0.12337374862545164,0.08739985433357611
int_sector_static_hinge_neg_us_smallcap_return_k1_0,0.0050635718353677275,0.0655095863191202,0.023906430744184054,0.043699927166788055
int_sector_beta_hinge_neg_us_smallcap_return_k1_0_beta120,3.350225773303318e-06,0.0001056050167369584,0.13289919026605543,0.06058009511160618
