feature,mean_within_date_std,p10_within_date_std,p50_within_date_std,p90_within_date_std,nonzero_date_ratio,use_for_model
int_macro_beta_hinge_neg_vix_return_k2_0_beta120,1.139155988171958e-05,0.0,0.0,0.0,0.018024879411018026,False
int_macro_beta_hinge_neg_vix_return_k2_0_beta252,1.7858817232917346e-05,0.0,0.0,0.0,0.017838676318510858,False
int_macro_beta_hinge_neg_nikkei_futures_return_k2_0_beta120,7.062815796665797e-06,0.0,0.0,0.0,0.03274942878903275,False
int_macro_beta_hinge_neg_nikkei_futures_return_k2_0_beta252,1.263270583259451e-05,0.0,0.0,0.0,0.03335056876938987,False
int_macro_beta_hinge_neg_topix_futures_return_k2_0_beta120,2.4007930472495963e-06,0.0,0.0,0.0,0.027925869510027925,False
int_macro_beta_hinge_neg_topix_futures_return_k2_0_beta252,3.502695197135794e-06,0.0,0.0,0.0,0.028179937952430196,False
int_sector_static_hinge_pos_us_tech_return_k1_0,0.011226978942683345,0.0,0.0,0.022909851831105457,0.12718964204112718,True
int_sector_beta_hinge_pos_us_tech_return_k1_0_beta120,1.2965317271077e-05,0.0,0.0,1.7906154080125396e-05,0.12718964204112718,True
int_sector_beta_hinge_pos_us_tech_return_k1_0_beta252,2.160237469177473e-05,0.0,0.0,3.4723222726467816e-05,0.1282316442605998,True
int_sector_static_hinge_pos_us_semiconductor_return_k1_0,0.009234370989509877,0.0,0.0,0.02205260456997736,0.13861386138613863,True
int_sector_beta_hinge_pos_us_semiconductor_return_k1_0_beta120,2.0136148621398684e-05,0.0,0.0,3.448602001905595e-05,0.13861386138613863,True
int_sector_beta_hinge_pos_us_semiconductor_return_k1_0_beta252,3.363087011684479e-05,0.0,0.0,6.615848302740274e-05,0.13960703205791106,True
int_sector_static_hinge_pos_us_energy_return_k1_0,0.0054725844969724735,0.0,0.0,0.012054139760056107,0.13353643056613354,True
int_sector_beta_hinge_pos_us_energy_return_k1_0_beta120,1.776755712589875e-05,0.0,0.0,2.7244223492370832e-05,0.13353643056613354,True
int_sector_beta_hinge_pos_us_energy_return_k1_0_beta252,3.200698227233513e-05,0.0,0.0,5.831462903974905e-05,0.1346949327817994,True
