oos_rank,is_sharpe_best,oos_sharpe_best
5,9.833619082298144,7.058936461272538
1,9.393574914737258,7.4190532958506035
1,9.235915892613757,7.643671294290353
4,8.841871741079611,7.925365174928752
22,9.414592295248735,7.319168813073268
3,8.895771574033429,7.926135292449925
4,9.437000292216927,7.409121341748096
18,9.037216601585554,7.669094911991311
1,9.05088060709361,7.768977565424542
23,9.598163649047452,7.133525976495547
23,9.23818566972274,7.462841634446569
6,9.269824394585372,7.552164286880958
7,10.625969724728854,6.3511621405048375
15,11.047989757999096,6.113226591557914
10,10.58289497008399,6.434131864210549
10,10.736861447676855,6.258330774627315
20,10.778009477399586,6.215155223856699
14,10.305617064467452,6.493087347745264
23,10.921985976882405,5.933823408108052
6,10.588384261385697,6.443064600493175
6,10.163256382827143,6.760671743217049
14,10.323056473075903,6.577286653759785
12,10.339668231348723,6.57228129416268
7,9.917818690854187,6.854393329952467
22,10.49022558458001,6.280603982138508
3,10.546257337462462,6.536733354215932
5,10.700412445900431,6.351468884767743
20,10.72470231497602,6.316003936560688
24,10.255402874348807,6.466686246831503
5,10.83153703401752,6.114995284725734
9,10.2718626436556,6.6676151773757635
15,10.298392837460858,6.6497359698755725
3,9.855172041107297,6.936907013317608
4,10.416040069168417,6.4418598900116635
14,10.449957655636268,6.482801241474058
11,10.020660727195997,6.755969564176962
23,10.612309448224034,6.176200387503075
16,10.075902281978001,6.732311062878753
18,10.645953397994345,6.225337895301156
1,10.198479087403248,6.583073009216864
5,10.618426604638108,6.533958211420239
21,10.180355272126878,6.739860562702226
6,10.331917121632978,6.660123292514361
15,10.389940120624978,6.6370954097373716
23,9.929523562019904,6.786820465788444
21,10.503792444442162,6.3500919426337905
6,10.604936029514336,6.611707290736363
8,10.743214390784162,6.431560056939498
18,10.804809364306633,6.395986599336119
8,10.266817225044804,6.651191272908826
3,10.86356819811243,6.205415924506335
5,10.287726389489222,6.751471093902553
17,10.357834809157827,6.716933736757322
21,9.850195826372282,6.891622060375883
2,10.43250206193053,6.537045526165913
18,10.505618381780264,6.551443326416153
6,10.004121806943884,6.823622405007806
22,10.629468224839243,6.24905747065761
19,10.091954812739795,6.773324861606541
