trade_date,rolling_250d_sortino,expanding_sortino
2018-04-09,30.31620985902896,71.50995965171195
2018-04-10,30.16705878330643,71.48943063310715
2018-04-11,29.072388621104515,70.72714830905707
2018-04-12,28.99170576155468,70.69207743218769
2018-04-13,28.81905939055928,70.71834177726632
2018-04-16,28.79840950933374,70.59763298279476
2018-04-17,28.624670605679047,70.5624684245871
2018-04-18,28.043643495237784,70.31197269483701
2018-04-19,28.26924842300997,70.36251043586672
2018-04-20,28.11739110349469,70.32244874507091
2018-04-23,28.022017435467955,70.30848059846858
2018-04-24,27.696379841644685,70.04147583549285
2018-04-25,28.158266340365433,70.09647367177269
2018-04-26,28.105052797716983,70.03139550811858
2018-04-27,28.260718447540885,70.01707995943208
2018-04-30,28.188872716308538,69.97325079710305
2018-05-01,28.277294504144976,70.00721318112711
2018-05-02,28.829289981400997,70.12227512028649
2018-05-03,28.710484597158228,70.07854435512252
2018-05-04,29.0518601737638,70.03489530426357
2018-05-07,29.11705823412072,70.07232504065713
2018-05-08,28.853386226095434,69.94155887290133
2018-05-09,28.7737630302911,69.88156383206349
2018-05-10,28.876603252618438,69.9086668879283
2018-05-11,28.82657020431777,69.9659613992919
2018-05-14,28.946189380381558,69.9992308858494
2018-05-15,28.755436466181852,69.89479931914946
2018-05-16,29.35164161163241,69.91058519128715
2018-05-17,28.87546857935912,69.70859564518189
2018-05-18,28.893372468215276,69.73432569863238
2018-05-21,28.95044952822653,69.71989333902535
2018-05-22,29.088658045757494,69.74306547428935
2018-05-23,28.98885132243725,69.72697356335195
2018-05-24,29.26913650980513,69.73506309143389
2018-05-25,29.234106096193116,69.73946206071133
2018-05-28,29.20989993917587,69.7060821343349
2018-05-30,28.988475677377686,69.43340978349046
2018-05-31,28.979438179780562,69.51550136363618
2018-06-01,28.35026432907611,68.86057880187292
2018-06-04,27.92448787593768,68.57724024361721
2018-06-05,28.08106224828044,68.64985056797737
2018-06-06,28.10693746916558,68.6156580867478
2018-06-07,28.5699950629634,68.64817777205522
2018-06-08,28.421201718305177,68.66410567471401
2018-06-11,28.04517990738548,68.67169674967674
2018-06-12,28.041168554420217,68.65366863483825
2018-06-13,28.22561002761619,68.67011481017914
2018-06-14,28.04599794247482,68.668559431219
2018-06-15,28.127082037181165,68.66149810037196
2018-06-18,28.15949833381784,68.71404024139702
2018-06-19,28.082858566177777,68.69654004958232
2018-06-20,28.115034756951616,68.71578775261001
2018-06-21,28.18995514878481,68.66789051286158
2018-06-22,28.404749905903444,68.69265615480671
2018-06-25,28.877084809976946,68.91301096054427
2018-06-26,29.073302843673048,68.97099358804147
2018-06-27,24.906841801934902,64.17639922742873
2018-06-28,24.842356705791158,64.16440955085481
2018-06-29,24.620393634905835,64.08449003857775
2018-07-02,24.55265854385031,64.06833715423929
2018-07-03,24.516344176181445,64.09597532706819
2018-07-04,24.608839346367752,64.08509984706444
2018-07-06,24.668829062561976,64.09589864070158
2018-07-09,24.403701851553624,63.99398899577288
2018-07-10,24.983340835134587,64.18124612964895
2018-07-11,24.816500696019485,63.76316002320697
2018-07-12,25.065530478558678,63.75524576230353
2018-07-13,24.734155813059406,63.38829850388201
2018-07-16,24.920959183382653,63.3510878763702
2018-07-17,25.059730027417334,63.375887117061986
2018-07-18,24.990328430026118,63.40243305498175
2018-07-19,24.020110842550782,62.351485019291765
2018-07-20,23.884723773311315,62.319814832009975
2018-07-23,23.4064149330524,61.95258772937315
2018-07-24,22.82386074439711,61.55461297148927
2018-07-25,22.818315395222378,61.51394010325997
2018-07-26,22.71831915594945,61.409266113172166
2018-07-27,22.71736908374591,61.40409078056499
2018-07-30,22.4887933938918,61.138438008561295
2018-07-31,22.486895444668594,61.12066401051987
2018-08-01,22.058386284498162,60.56656780530402
2018-08-02,22.19816803145238,60.60791101617616
2018-08-03,22.01056203030072,60.453220622853536
2018-08-06,22.052089256215233,60.41838344139387
2018-08-07,22.745209238111094,60.384810548251004
2018-08-08,21.23327036228173,58.48236824718357
2018-08-09,21.24027722300112,58.45160178124572
2018-08-10,21.139367782773743,58.34744364600245
2018-08-13,20.61045283832043,57.70416981788314
2018-08-14,20.959262439785387,57.703052175711214
2018-08-15,21.016239832988234,57.742959551440855
2018-08-16,21.037438168243234,57.77518538175422
2018-08-17,21.46805554647359,57.797906135454156
2018-08-20,21.62231874754257,57.80253429742796
2018-08-21,21.345770805298525,57.734698174969495
2018-08-22,21.314063318437874,57.697656424466
2018-08-23,21.44997229520656,57.664864346554616
2018-08-24,21.392731549029552,57.63294774816285
2018-08-27,21.130871998733888,57.349379326508455
2018-08-28,21.209736919637606,57.36703223550012
2018-08-29,21.15732344613604,57.32918440176963
2018-08-30,21.103030520607863,57.31798238242555
2018-08-31,21.19313438726544,57.36788892995226
2018-09-03,21.064374604611903,57.31287798763413
2018-09-05,21.072813665487082,57.21936746884052
2018-09-06,20.948480832991233,57.13089067944572
2018-09-07,21.061080715886646,57.11803882796948
2018-09-10,21.090937174857842,57.09931585499857
2018-09-11,21.234264372331943,57.12760460069111
2018-09-12,21.213246583065896,57.10712596036986
2018-09-13,21.200920714833494,57.024689420334624
2018-09-14,21.337214687274173,57.04699945534717
2018-09-17,20.847820103146887,57.01515630497027
2018-09-18,21.091904798397763,57.12858793518052
2018-09-19,20.869232385375952,56.86942849045645
2018-09-20,20.785846106846932,56.78203527747132
2018-09-21,19.059463065107504,54.698427348496914
2018-09-24,18.97450781723436,54.668064633224525
2018-09-25,18.876341120586225,54.641886362385875
2018-09-26,18.992711007208875,54.71130783460662
2018-09-27,19.062853686450644,54.763204835167556
2018-09-28,19.303864238854327,54.84788178690843
2018-10-01,19.135775487301775,54.82509833802805
2018-10-02,19.323255970756648,54.87019867915554
2018-10-03,19.315069454461383,54.87027044558851
2018-10-04,19.270959691287686,54.855100458902974
2018-10-05,19.2928027915393,54.833802904504545
2018-10-08,19.242103819913908,54.80369924980382
2018-10-09,19.157866101254303,54.796381827900085
2018-10-10,19.127448963964042,54.413697135633555
2018-10-11,19.27778403626751,54.526929232295814
2018-10-12,19.288336921657447,54.57314303354912
2018-10-15,19.2281587227852,54.56599393349108
2018-10-16,19.12189108624933,54.52044055484706
2018-10-17,19.02171935702275,54.47777718768425
2018-10-18,19.02080019483781,54.485545789763584
2018-10-19,18.957958226172448,54.48510103403435
2018-10-22,18.973674665553563,54.53240641324129
2018-10-23,18.96675038076258,54.59432220933676
2018-10-24,19.518350163266927,54.668238882072565
