date,eta,ic,rolling_ic,cs_var,mode
2022-06-09,0.6694015424254067,0.6323529411764707,0.07388030848508136,0.0,ic
2022-06-10,0.7044155480276477,0.32598039215686275,0.08088310960552955,0.0,ic
2022-06-13,0.7071388595744887,0.13235294117647062,0.08142777191489775,0.0,ic
2022-06-14,0.6810728776261539,0.2622549019607843,0.07621457552523077,0.0,ic
2022-06-15,0.7491556662971779,0.5465686274509804,0.08983113325943558,0.0,ic
2022-06-16,0.737484331096431,0.09558823529411767,0.08749686621928619,0.0,ic
2022-06-17,0.697996313667237,-0.5098039215686275,0.0795992627334474,0.0,ic
2022-06-20,0.6843797559330322,0.20833333333333337,0.07687595118660644,0.0,ic
2022-06-22,0.7118073936547875,0.5416666666666667,0.08236147873095752,0.0,ic
2022-06-23,0.7211499497175593,0.004901960784313726,0.08422998994351187,0.0,ic
2022-06-24,0.7989588510558724,0.6544117647058824,0.09979177021117448,0.0,ic
2022-06-27,0.8,0.40441176470588236,0.10037533697121181,0.0,ic
2022-06-28,0.8,0.056372549019607844,0.10060876367522677,0.0,ic
2022-06-29,0.8,0.41666666666666674,0.11659849290025012,0.0,ic
2022-06-30,0.8,-0.02450980392156863,0.11628725729489688,0.0,ic
2022-07-01,0.8,0.40441176470588236,0.12725831238359903,0.0,ic
2022-07-04,0.8,-0.11764705882352941,0.11986646675645928,0.0,ic
2022-07-06,0.8,0.009803921568627453,0.11815467092701638,0.0,ic
2022-07-07,0.8,0.09313725490196079,0.11951632670043685,0.0,ic
2022-07-08,0.8,0.4436274509803922,0.13313288443464164,0.0,ic
2022-07-11,0.8,0.1985294117647059,0.14309242380594575,0.0,ic
2022-07-12,0.8,0.10049019607843139,0.1485779513502968,0.0,ic
2022-07-13,0.8,0.232843137254902,0.1537911477399638,0.0,ic
2022-07-14,0.8,-0.09313725490196079,0.15009386488107243,0.0,ic
2022-07-15,0.8,-0.12990196078431374,0.14772069339025387,0.0,ic
2022-07-19,0.8,0.4436274509803922,0.1511053805984705,0.0,ic
2022-07-20,0.8,0.1936274509803922,0.15876955738029436,0.0,ic
2022-07-21,0.8,0.10049019607843139,0.15577391467876928,0.0,ic
2022-07-22,0.8,-0.01715686274509804,0.1508330494437864,0.0,ic
2022-07-25,0.8,0.02450980392156863,0.14908234916367435,0.0,ic
2022-07-26,0.8,0.3458001876202644,0.15554385229739162,0.0,ic
2022-07-27,0.8,-0.07862431594647298,0.1529528205489562,0.0,ic
2022-07-28,0.8,0.27450980392156865,0.1534196739569861,0.0,ic
2022-07-29,0.8,-0.43627450980392163,0.1433434212336746,0.0,ic
2022-08-01,0.8,-0.27450980392156865,0.13999763847612712,0.0,ic
2022-08-02,0.8,0.12500000000000003,0.13832250421559522,0.0,ic
2022-08-03,0.8,0.06372549019607844,0.13699975289284388,0.0,ic
2022-08-04,0.8,-0.03186274509803922,0.13248683661522173,0.0,ic
2022-08-05,0.8,-0.3995098039215687,0.12182701713187287,0.0,ic
2022-08-08,0.8,0.03676470588235294,0.12665116901484821,0.0,ic
2022-08-09,0.8,0.11764705882352941,0.1310473719404629,0.0,ic
2022-08-10,0.8,-0.0515021556030181,0.13509293374072626,0.0,ic
2022-08-12,0.8,-0.3308823529411765,0.12847917712696966,0.0,ic
2022-08-15,0.8,-0.09068627450980393,0.1204648602891234,0.0,ic
2022-08-16,0.8,-0.25490196078431376,0.11579479491201941,0.0,ic
2022-08-17,0.8,0.4264705882352942,0.12089127794967891,0.0,ic
2022-08-18,0.8,0.49019607843137264,0.13123986182767455,0.0,ic
2022-08-19,0.8,-0.28921568627450983,0.12688256335272902,0.0,ic
2022-08-22,0.8,0.6069896910355704,0.13387181770779097,0.0,ic
2022-08-23,0.8,0.3126916590183242,0.13500073873007934,0.0,ic
2022-08-24,0.8,0.24509803921568632,0.13332784735130565,0.0,ic
2022-08-25,0.8,0.1213979382071141,0.13073078057195883,0.0,ic
2022-08-26,0.8,-0.4338235294117647,0.12147152131269956,0.0,ic
2022-08-29,0.8,0.18627450980392157,0.12738499781441134,0.0,ic
2022-08-30,0.8,0.06617647058823531,0.11979862993392582,0.0,ic
2022-08-31,0.8,-0.03431372549019608,0.11625832492303259,0.0,ic
2022-09-01,0.8,0.462293158627091,0.12211794244247909,0.0,ic
2022-09-02,0.8,0.2916666666666667,0.12445220948262849,0.0,ic
2022-09-05,0.8,0.10294117647058824,0.11982257985299885,0.0,ic
2022-09-07,0.8,-0.01715686274509804,0.11645544796480005,0.0,ic
2022-09-08,0.8,0.10539215686274511,0.12341934463457906,0.0,ic
2022-09-09,0.8,-0.16421568627450983,0.11805053044223546,0.0,ic
2022-09-12,0.8,0.07598039215686275,0.11435460762866557,0.0,ic
2022-09-13,0.8,-0.232843137254902,0.10062133654245335,0.0,ic
2022-09-14,0.7772352230172774,0.0,0.0954470446034555,0.0,ic
2022-09-15,0.8,0.6102941176470589,0.10303341248394104,0.0,ic
2022-09-16,0.7709530872800181,-0.29484118479927374,0.09419061745600363,0.0,ic
2022-09-20,0.7269910580238712,-0.007352941176470588,0.08539821160477423,0.0,ic
2022-09-21,0.7026757763556483,-0.21078431372549022,0.08053515527112966,0.0,ic
2022-09-22,0.7283527137972916,-0.18627450980392157,0.08567054275945832,0.0,ic
2022-09-26,0.7083169217026759,-0.04411764705882353,0.08166338434053519,0.0,ic
2022-09-27,0.7050100433957976,0.5000000000000001,0.08100200867915953,0.0,ic
2022-09-28,0.7292431556683268,0.31023917541818047,0.08584863113366537,0.0,ic
2022-09-29,0.6633001117841064,-0.17647058823529413,0.07266002235682127,0.0,ic
2022-09-30,0.6242011388616042,-0.08823529411764706,0.06484022777232083,0.0,ic
2022-10-03,0.6298422842086318,0.12745098039215688,0.06596845684172636,0.0,ic
2022-10-04,0.6300368064619777,0.4191176470588236,0.06600736129239552,0.0,ic
2022-10-05,0.6489054650365185,0.2132352941176471,0.0697810930073037,0.0,ic
2022-10-06,0.6529904323567799,0.4558823529411765,0.07059808647135599,0.0,ic
2022-10-07,0.6730262244513955,0.13480392156862747,0.0746052448902791,0.0,ic
2022-10-11,0.6784728475450774,0.07843137254901962,0.07569456950901549,0.0,ic
2022-10-12,0.7012319511865341,0.37990196078431376,0.08024639023730681,0.0,ic
2022-10-13,0.7134868531473182,0.5980392156862745,0.08269737062946365,0.0,ic
2022-10-14,0.6843085151454509,-0.16911764705882354,0.07686170302909019,0.0,ic
2022-10-17,0.6876153934523292,0.14215686274509806,0.07752307869046586,0.0,ic
2022-10-18,0.6562973106636583,-0.16176470588235298,0.07125946213273165,0.0,ic
2022-10-19,0.6261463613950619,-0.4730392156862746,0.06522927227901237,0.0,ic
2022-10-20,0.676333102758274,0.502450980392157,0.07526662055165478,0.0,ic
2022-10-21,0.6532146234857261,0.1523346121462914,0.07064292469714523,0.0,ic
2022-10-24,0.6224801074570925,-0.1936274509803922,0.0644960214914185,0.0,ic
2022-10-25,0.6596338578461372,0.5686274509803922,0.07192677156922742,0.0,ic
2022-10-26,0.6553543682725298,-0.07107843137254903,0.07107087365450597,0.0,ic
2022-10-27,0.6618760534062348,0.1066830366062518,0.07237521068124696,0.0,ic
2022-10-28,0.6217876476038173,-0.1593137254901961,0.06435752952076346,0.0,ic
2022-10-31,0.6177179932516077,-0.12990196078431374,0.06354359865032154,0.0,ic
2022-11-01,0.5840656434227873,-0.14950980392156862,0.056813128684557464,0.0,ic
2022-11-02,0.6297490809855977,0.13933680348748867,0.06594981619711952,0.0,ic
2022-11-04,0.6563986296939699,0.06127450980392158,0.07127972593879399,0.0,ic
2022-11-07,0.6655411756012217,0.24019607843137256,0.07310823512024435,0.0,ic
2022-11-08,0.6873276679759492,0.3382352941176471,0.07746553359518986,0.0,ic
2022-11-09,0.7016322713812457,0.148375257808695,0.08032645427624915,0.0,ic
