,VaR_99,ES_99
2023-05-11,0.014104647140386308,0.015397196137976632
2023-05-12,0.014104647140386308,0.015397196137976632
2023-05-15,0.014104647140386308,0.015397196137976632
2023-05-16,0.014104647140386308,0.015397196137976632
2023-05-17,0.014104647140386308,0.015397196137976632
2023-05-18,0.014104647140386308,0.015397196137976632
2023-05-19,0.014104647140386308,0.015397196137976632
2023-05-22,0.014104647140386308,0.015397196137976632
2023-05-23,0.014104647140386308,0.015397196137976632
2023-05-24,0.014104647140386308,0.015397196137976632
2023-05-25,0.014104647140386308,0.015397196137976632
2023-05-26,0.014104647140386308,0.015397196137976632
2023-05-29,0.014104647140386308,0.015397196137976632
2023-05-31,0.014104647140386308,0.015397196137976632
2023-06-01,0.014104647140386308,0.015397196137976632
2023-06-02,0.014104647140386308,0.015397196137976632
2023-06-05,0.014104647140386308,0.015397196137976632
2023-06-06,0.014104647140386308,0.015397196137976632
2023-06-07,0.014104647140386308,0.015397196137976632
2023-06-08,0.014104647140386308,0.015397196137976632
2023-06-09,0.014104647140386308,0.015397196137976632
2023-06-12,0.014104647140386308,0.015397196137976632
2023-06-13,0.014104647140386308,0.015397196137976632
2023-06-14,0.014104647140386308,0.015397196137976632
2023-06-15,0.014104647140386308,0.015397196137976632
2023-06-16,0.014104647140386308,0.015397196137976632
2023-06-19,0.014104647140386308,0.015397196137976632
2023-06-21,0.014104647140386308,0.015397196137976632
2023-06-22,0.014104647140386308,0.015397196137976632
2023-06-23,0.014104647140386308,0.015397196137976632
2023-06-26,0.014104647140386308,0.015397196137976632
2023-06-27,0.014104647140386308,0.015397196137976632
2023-06-28,0.014104647140386308,0.015397196137976632
2023-06-29,0.014104647140386308,0.015397196137976632
2023-06-30,0.014104647140386308,0.015397196137976632
2023-07-03,0.014104647140386308,0.015397196137976632
2023-07-04,0.014945502647468413,0.015799883658286603
2023-07-06,0.014945502647468413,0.015799883658286603
2023-07-07,0.014945502647468413,0.015799883658286603
2023-07-10,0.014945502647468413,0.015799883658286603
