,gross_linear,gross_gp,net_linear,net_gp,kappa
2024-04-18,0.014404091568459816,0.013704672955310483,0.012404091568459816,0.011704672955310483,0.9514430597844274
2024-04-19,0.019263570947600367,0.01837472010860181,0.017263570947600365,0.01637472010860181,0.9538584595028431
2024-04-22,-0.007468380033154985,-0.0071153026451780555,-0.009468380033154984,-0.009115302645178056,0.9527236982572547
2024-04-23,-0.000263046869434606,-0.0002507194498375927,-0.0022630468694346062,-0.0022507194498375925,0.9531360338045083
2024-04-24,-0.0017410434881371462,-0.0016585253581535174,-0.0037410434881371465,-0.0036585253581535174,0.9526042108965806
2024-04-25,-0.00236758276723158,-0.002261087729195188,-0.00436758276723158,-0.004261087729195188,0.9550195078667016
2024-04-26,0.0026830203987523323,0.0025637558443860576,0.0006830203987523323,0.0005637558443860576,0.9555483982075814
2024-04-30,0.006024820848756289,0.0057594728492137886,0.004024820848756289,0.0037594728492137885,0.9559575286629018
2024-05-01,0.00854631816602372,0.0081545450510383,0.00654631816602372,0.0061545450510382994,0.954158842746701
2024-05-02,0.0033357684005985632,0.0031887799558595097,0.0013357684005985632,0.0011887799558595097,0.9559356564704318
2024-05-07,0.0005142484166716507,0.0004916475990567294,-0.0014857515833283494,-0.0015083524009432707,0.9560507784132825
2024-05-08,0.005880252134325371,0.005555371780048855,0.003880252134325371,0.0035553717800488552,0.9447506081618404
2024-05-09,0.006998100529819102,0.006636146815171634,0.004998100529819102,0.004636146815171634,0.948278291644258
2024-05-10,0.016461125132164446,0.015612540813497463,0.014461125132164446,0.013612540813497463,0.9484491909359901
2024-05-13,-0.006384969044505172,-0.006075951759316041,-0.008384969044505173,-0.008075951759316042,0.9516023831853865
2024-05-14,-0.005028172151578219,-0.004796899655271148,-0.007028172151578219,-0.0067968996552711484,0.954004658286316
2024-05-15,0.0036335773838167803,0.0034737502699692053,0.0016335773838167802,0.0014737502699692052,0.9560138406410682
2024-05-16,-0.002541560548772602,-0.0024281511728330564,-0.004541560548772602,-0.004428151172833057,0.9553780546387868
2024-05-17,0.00806308503695832,0.007715684779377638,0.006063085036958319,0.005715684779377638,0.9569147223440753
2024-05-20,0.01853779678451401,0.017771158395105013,0.01653779678451401,0.01577115839510501,0.9586445790554017
2024-05-21,0.012633643037400444,0.012123096025682303,0.010633643037400444,0.010123096025682303,0.9595882984657137
2024-05-22,-0.005029338755328369,-0.004834091518830398,-0.007029338755328369,-0.006834091518830398,0.9611783484874398
2024-05-23,3.2588663693159953e-05,3.131598557542712e-05,-0.00196741133630684,-0.0019686840144245727,0.9609472137392187
2024-05-24,0.0009672618208380428,0.0009257196144200138,-0.0010327381791619572,-0.0010742803855799863,0.9570517459460611
2024-05-27,-0.004550578146632526,-0.0043588180800036526,-0.006550578146632526,-0.006358818080003653,0.9578602849023088
2024-05-29,0.009954127765229043,0.009537216129472592,0.007954127765229043,0.007537216129472592,0.9581167084058563
2024-05-30,0.007414984385120008,0.007089901609763739,0.005414984385120008,0.005089901609763739,0.9561586702719661
2024-05-31,0.012380573350354158,0.011832324345337306,0.010380573350354158,0.009832324345337306,0.9557169939144079
2024-06-03,-0.0024878570079249923,-0.002369006714704606,-0.004487857007924992,-0.004369006714704606,0.9522278439469019
2024-06-04,-0.0020800358152065056,-0.0019827659670758734,-0.004080035815206506,-0.0039827659670758735,0.9532364551516269
2024-06-05,-0.0027051523957190896,-0.0025844125578664335,-0.00470515239571909,-0.004584412557866433,0.9553667149977467
2024-06-06,0.0045644227956236315,0.004359912391133127,0.0025644227956236314,0.0023599123911331272,0.9551946842683835
2024-06-07,0.012757974737193188,0.0122144725564085,0.010757974737193188,0.0102144725564085,0.9573990235926535
2024-06-10,0.0039693704391221395,0.003805764559243314,0.0019693704391221395,0.001805764559243314,0.9587829147246316
