trade_date,beta_exposure,gross_exposure,net_exposure,strategy_return
2014-07-11,0.00485041155899435,2.0,5.551115123125783e-17,0.014904500297268993
2014-07-14,0.04451296955444106,2.0,0.0,0.0055074723554369865
2014-07-15,-0.3461786776667607,2.0,-5.551115123125783e-17,0.009370682254970213
2014-07-16,0.07266119917814581,2.0,-2.7755575615628914e-17,0.005275254053428698
2014-07-17,-0.032094622835721176,2.0,2.7755575615628914e-17,0.0013098987780541132
2014-07-18,0.02572229200781373,2.0,0.0,0.0038182350688116913
2014-07-22,0.059593420650006015,2.0,2.7755575615628914e-17,0.0031326274129758473
2014-07-23,-0.15257487524930483,2.0,0.0,0.0017823381621327903
2014-07-24,-0.43096025886306716,2.0,8.326672684688674e-17,0.0041835716954467025
2014-07-25,0.5011835206229622,2.0,-5.551115123125783e-17,0.0033464062404315554
2014-07-28,-0.04113581001322883,2.0,-8.326672684688674e-17,0.002730447901723145
2014-07-29,0.32997853941200794,2.0,4.163336342344337e-17,0.00036845100619170286
2014-07-30,0.17577864763479994,2.0,-5.551115123125783e-17,0.00027736188817082264
2014-07-31,-0.6509591324309802,2.0,5.551115123125783e-17,0.003990440290352724
2014-08-01,0.19819553356930078,2.0,-1.1102230246251565e-16,0.005637995783915581
2014-08-04,0.267403369441095,1.9999999999999998,2.7755575615628914e-17,0.003824620371718268
2014-08-05,-0.364962612265452,2.0,-8.326672684688674e-17,0.004451422852518028
2014-08-06,-0.30203493399286974,2.0,-2.7755575615628914e-17,0.006748136280949698
2014-08-07,0.12286742650075125,2.0,0.0,0.004313226840803796
2014-08-08,-0.1317460692597337,2.0,0.0,0.013936777352976607
2014-08-11,0.20263342534466894,2.0,2.7755575615628914e-17,0.013762066020112738
2014-08-12,-0.1623306835664866,2.0,2.7755575615628914e-17,0.0008929406321027982
2014-08-13,0.5759714532790324,2.0,-2.7755575615628914e-17,0.00695657526987682
2014-08-14,-0.3885064896064594,2.0,0.0,0.006942017723112433
2014-08-15,0.31310750341027943,2.0,-8.326672684688674e-17,0.004033161102329827
2014-08-18,-0.4776928217421845,2.0,2.7755575615628914e-17,0.027331128842454283
2014-08-19,-0.3674377751610447,2.0,-4.163336342344337e-17,0.013101479974900567
2014-08-20,-0.05175356388560351,2.0,-5.551115123125783e-17,0.0007713079475833396
2014-08-21,-0.14557237985109336,2.0,6.938893903907228e-17,-0.0028496149460104734
2014-08-22,-0.31781962187028934,2.0,5.551115123125783e-17,0.00656262843280142
2014-08-25,-0.39235672977689406,2.0,-1.1102230246251565e-16,0.021889856665605747
2014-08-26,-0.28917730230237726,2.0000000000000004,2.7755575615628914e-17,0.0025275222327971352
2014-08-27,-0.01296198473421567,2.0,0.0,0.001940447522304384
2014-08-28,-0.030790074811162624,2.0,-2.7755575615628914e-17,0.0019748285793005286
