trade_date,long_pnl,short_pnl,long_gross,short_gross
2022-10-20,0.0008104515859344076,0.006222044522395015,0.9999999999999998,0.9999999999999998
2022-10-21,-0.0005705387358497208,0.009882310272713765,1.0,1.0
2022-10-24,-0.009754814670010558,0.012739025397873652,0.9999999999999999,0.9999999999999999
2022-10-25,0.006544882038132275,3.406215221666545e-05,0.9999999999999999,1.0
2022-10-26,-0.0017779170598133625,0.002984567289733069,1.0,1.0
2022-10-27,-0.0009820451859060982,0.004939451078621608,0.9999999999999998,0.9999999999999999
2022-10-28,0.0005314518334627708,0.003384755997846602,0.9999999999999998,0.9999999999999998
2022-10-31,0.006197852753054994,-0.0004048197737402163,0.9999999999999996,0.9999999999999996
2022-11-01,0.0016733241955588017,-0.009356825123175837,1.0,1.0
2022-11-02,0.013273770976926409,0.010502167313272418,0.9999999999999998,0.9999999999999998
2022-11-04,-0.002989745260662983,0.004528660720468879,0.9999999999999996,0.9999999999999996
2022-11-07,0.001989415937387288,0.0045408220640686895,0.9999999999999998,0.9999999999999999
2022-11-08,0.004170157736910464,0.0007890723394427077,0.9999999999999998,0.9999999999999998
2022-11-09,-0.0004156270148316058,0.00378599587739069,1.0,1.0
2022-11-10,0.007825647306755572,-0.0016173677090548127,1.0,1.0
2022-11-11,-0.0018924241845150822,0.008276429660216945,0.9999999999999997,0.9999999999999998
2022-11-14,0.0038031443209393906,0.011019810072063735,0.9999999999999998,0.9999999999999998
2022-11-15,0.001824518597493831,-0.011020980048672814,0.9999999999999998,0.9999999999999998
2022-11-16,-0.004114326136374112,0.005861964254769467,1.0,1.0
2022-11-17,0.008920050740917966,-0.005866029470019499,0.9999999999999996,0.9999999999999997
2022-11-18,0.014226656618939851,-0.003027161512845552,0.9999999999999998,0.9999999999999998
2022-11-21,-0.0017527433830905024,0.004119573754474101,1.0,0.9999999999999999
2022-11-22,0.014087466878453891,0.0038597654954243875,0.9999999999999998,0.9999999999999999
2022-11-24,0.001551773112522459,-0.007206782252817796,0.9999999999999999,1.0
2022-11-28,-0.0019624915950251206,0.013197475270183561,0.9999999999999998,0.9999999999999998
2022-11-29,0.005851587743023699,0.00482660538776516,0.9999999999999999,0.9999999999999998
2022-11-30,0.0010171676919398737,0.015430321236702859,0.9999999999999998,0.9999999999999998
2022-12-01,-0.007463720984356611,0.006432184150510508,1.0,1.0
2022-12-02,-0.008731276803759997,0.02378370096918855,0.9999999999999998,0.9999999999999998
2022-12-05,8.116683272697042e-05,0.012352530810721896,0.9999999999999998,0.9999999999999998
2022-12-06,0.004063883523135412,-0.002963346531181343,1.0,1.0
2022-12-07,0.005194553854409798,0.0021051530965144095,1.0,1.0
2022-12-08,0.0019340756259530576,0.013030643781543045,0.9999999999999999,0.9999999999999998
2022-12-09,0.009752572195801877,-0.003257204820870534,1.0,1.0
2022-12-12,0.005464441949927131,-0.00017901099816524746,1.0,1.0
2022-12-13,0.012414466188515527,0.006580305853613763,0.9999999999999996,0.9999999999999996
2022-12-14,0.004878351533881748,-0.0032415495405051856,1.0,1.0
2022-12-15,0.005743910205489679,0.0013925976491856132,0.9999999999999999,0.9999999999999998
2022-12-16,-0.002845951936778406,0.01181037508563522,0.9999999999999998,0.9999999999999997
2022-12-19,-0.0013676194094749431,-0.00017418826937227842,1.0,1.0
2022-12-20,0.016266896187117706,0.02837046145294876,0.9999999999999998,0.9999999999999998
2022-12-21,0.0008860671335979764,0.017563834199179517,1.0,1.0
2022-12-22,0.0047054080365463696,-0.005943840314856866,0.9999999999999996,0.9999999999999996
2022-12-23,-0.002680866530925064,-0.012712543067801892,0.9999999999999996,0.9999999999999994
2022-12-26,-0.0066690721441465374,-0.00278774619627687,0.9999999999999998,0.9999999999999997
2022-12-28,0.0005402075423357757,0.00020751028511039465,0.9999999999999997,0.9999999999999997
2022-12-29,-0.004580412405493608,-0.0010652042164310763,0.9999999999999999,0.9999999999999998
2022-12-30,0.0012095553095572776,0.012003624046975593,1.0,1.0
2023-01-04,-0.009116499012524613,0.011762434189213567,1.0,1.0
2023-01-05,-0.00398266920755148,0.010214483855849237,0.9999999999999996,0.9999999999999996
2023-01-06,0.005281574164018887,-0.004919121858204854,0.9999999999999999,0.9999999999999998
2023-01-10,-0.010377739806425361,0.0029083273440530335,0.9999999999999998,0.9999999999999998
2023-01-11,0.007358604701037434,0.005187577486858958,0.9999999999999998,0.9999999999999998
2023-01-12,0.004991646020542431,0.0023163006729324948,1.0,1.0
2023-01-13,-0.0011233338227605557,-0.010293389033754655,0.9999999999999998,0.9999999999999998
2023-01-16,0.00013256858619210973,0.024714026321652847,0.9999999999999998,0.9999999999999998
2023-01-18,0.006550908388828832,-0.014346681542633282,0.9999999999999996,0.9999999999999996
2023-01-19,-0.0007780202875876305,0.00021748816780892458,1.0,1.0
2023-01-20,0.010742861928373254,-0.003675064216171024,1.0,1.0
2023-01-23,0.00437172597512838,-0.004161634592385272,1.0,1.0
2023-01-24,0.0062907016824275425,-0.003981943266602955,1.0,1.0
2023-01-25,0.0065232885043863,-0.004250067741348958,0.9999999999999998,0.9999999999999998
2023-01-26,-0.001731139366066481,0.003978166604641233,0.9999999999999998,0.9999999999999998
2023-01-27,7.667027682947648e-05,-0.0043834481916453765,1.0,1.0000000000000002
2023-01-30,0.0030702273672197065,0.006492659378708847,0.9999999999999998,0.9999999999999998
2023-01-31,-0.003144539353156877,-0.004766144137222638,1.0,1.0
2023-02-01,-0.00440696867540343,0.007021523071802472,1.0,1.0
2023-02-02,-0.007440944530340366,0.008131802106965827,1.0,1.0
2023-02-03,0.0013701199277543978,0.002727286632973755,1.0,1.0
2023-02-06,0.010249219030628037,-0.0005975842380625997,1.0,1.0
2023-02-07,-0.0004982834554320369,-0.0003452938397841838,1.0,1.0
2023-02-08,0.001959665343626611,0.0032875122636607684,1.0,0.9999999999999999
2023-02-09,0.008167606739772397,-0.0009572472593189249,0.9999999999999999,0.9999999999999998
2023-02-10,-0.0033249195869132983,-0.0018033452299936648,0.9999999999999997,0.9999999999999998
2023-02-13,0.0013646887951005641,-0.0044026128093715535,1.0,1.0
2023-02-14,-0.00011811599132570042,-0.00097699744685734,0.9999999999999998,0.9999999999999997
2023-02-15,-0.0007806590702323565,0.006604719027568729,0.9999999999999998,1.0
2023-02-16,0.004758487309919544,-0.0016677027999631032,0.9999999999999998,0.9999999999999997
2023-02-17,0.002714746741296246,-0.0012351816143519661,1.0,1.0
2023-02-20,0.004364361371353283,-0.0013601856509785327,0.9999999999999998,0.9999999999999997
2023-02-22,-0.0026983615880343463,0.008865315037401688,0.9999999999999998,0.9999999999999998
2023-02-24,0.0012504303400550306,-0.0016365992309821807,1.0,1.0
2023-02-27,0.013798969242894945,-0.0005328374061694639,1.0,1.0
2023-02-28,-0.0012053627272155779,0.007032762417020038,0.9999999999999998,0.9999999999999999
2023-03-01,0.0013820499176230192,-0.01167809857468187,1.0,1.0
2023-03-02,-0.0033274430837248953,0.006698075713474822,0.9999999999999999,0.9999999999999998
2023-03-03,0.013008684252599764,-0.0032696993842694553,0.9999999999999998,0.9999999999999998
2023-03-06,0.0011835198239297919,0.0019012778420231396,0.9999999999999998,0.9999999999999999
2023-03-07,0.002154819260075783,-0.00692929853384216,0.9999999999999999,0.9999999999999998
2023-03-08,0.005564907115261834,-0.006827218322919991,0.9999999999999998,0.9999999999999998
2023-03-09,0.0029817950252150898,-0.003423216461973497,0.9999999999999998,0.9999999999999999
2023-03-10,0.0005891677319462413,0.007799523926004824,0.9999999999999998,0.9999999999999998
