date,window_id,baseline_rank_ic,hinge_ridge_rank_ic,hinge_elasticnet_rank_ic
2011-01-14,1,0.5376181090313721,0.5376181090313721,0.5376181090313721
2011-01-17,1,-0.16626589908025405,-0.16626589908025405,-0.16626589908025405
2011-01-19,1,-0.0349351927900052,-0.0349351927900052,-0.0349351927900052
2011-01-20,1,0.3772002486596808,0.3772002486596808,0.3772002486596808
2011-01-21,2,0.13243411440776084,0.13243411440776084,0.13243411440776084
2011-01-24,2,-0.05887450403636412,-0.05887450403636412,-0.05887450403636412
2011-01-25,2,0.3789087162222046,0.3789087162222046,0.3789087162222046
2011-01-26,2,-0.2760028939626756,-0.2760028939626756,-0.2760028939626756
2011-01-27,2,0.4636339655866879,0.4636339655866879,0.4636339655866879
2011-01-28,2,0.3421214622200488,0.3421214622200488,0.3421214622200488
2011-01-31,2,0.2916666666666667,0.2916666666666667,0.2916666666666667
2011-02-01,2,-0.0822700933927206,-0.0822700933927206,-0.0822700933927206
2011-02-02,2,0.3598291845766692,0.3598291845766692,0.3598291845766692
2011-02-03,2,0.41442395740899135,0.41442395740899135,0.41442395740899135
2011-02-04,2,-0.0024570098733272807,-0.0024570098733272807,-0.0024570098733272807
2011-02-07,2,0.1790313028104915,0.1790313028104915,0.1790313028104915
2011-02-08,2,0.10422638449806969,0.10422638449806969,0.10422638449806969
2011-02-09,2,0.37608606251047827,0.37608606251047827,0.37608606251047827
2011-02-10,2,0.7453261681199288,0.7453261681199288,0.7453261681199288
2011-02-14,2,0.4661001037015107,0.4661001037015107,0.4661001037015107
2011-02-15,2,-0.002481580583287374,-0.002481580583287374,-0.002481580583287374
2011-02-16,2,-0.03226054758273586,-0.03226054758273586,-0.03226054758273586
2011-02-17,2,-0.09336637518643667,-0.09336637518643667,-0.09336637518643667
2011-02-18,2,0.2779370253281858,0.2779370253281858,0.2779370253281858
2011-02-21,2,0.3700542643682032,0.3700542643682032,0.3700542643682032
2011-02-23,3,0.4717458956788379,0.4717458956788379,0.4717458956788379
2011-02-24,3,-0.19607843137254904,-0.19607843137254904,-0.19607843137254904
2011-02-25,3,0.29282650882791006,0.29282650882791006,0.29282650882791006
2011-02-28,3,-0.03186274509803922,-0.03186274509803922,-0.03186274509803922
2011-03-01,3,-0.09687310220567691,-0.09687310220567691,-0.09687310220567691
2011-03-02,3,0.27027108606600087,0.27027108606600087,0.27027108606600087
2011-03-03,3,0.39207914390174403,0.39207914390174403,0.39207914390174403
2011-03-04,3,0.043842715771760514,0.043842715771760514,0.043842715771760514
2011-03-07,3,0.35539215686274517,0.35539215686274517,0.35539215686274517
2011-03-08,3,0.36419381462134226,0.36419381462134226,0.36419381462134226
2011-03-09,3,0.3002712505777722,0.3002712505777722,0.3002712505777722
