trade_date,daily_return,daily_return_gross,daily_return_renorm,daily_return_renorm_gross,long_ret,short_ret,slippage_cost,gross_exposure,gross_exposure_renorm,net_exposure,net_exposure_renorm,n_long_filled,n_short_filled,n_long_total,n_short_total,n_filled
2021-04-19,0.008668748586095176,0.010668748586095176,0.008668748586095176,0.010668748586095176,0.0007226616657057274,0.009946086920389448,0.002,2.0,2.0,2.7755575615628914e-17,2.7755575615628914e-17,5,5,5,5,10
2021-04-20,0.023208135058060873,0.02520813505806087,0.023208135058060873,0.02520813505806087,-0.006526609608756864,0.03173474466681774,0.002,2.0,2.0,-2.7755575615628914e-17,-2.7755575615628914e-17,5,5,5,5,10
2021-04-21,-0.00023305772623629598,0.001766942273763704,-0.00023305772623629598,0.001766942273763704,-0.0034792254520890783,0.005246167725852783,0.002,2.0,2.0,-4.163336342344337e-17,1.1102230246251565e-16,5,5,5,5,10
2021-04-22,0.0011970174212221347,0.0031970174212221343,0.0011970174212221347,0.0031970174212221343,0.005034502827274,-0.001837485406051866,0.0019999999999999996,1.9999999999999998,1.9999999999999998,-5.551115123125783e-17,-5.551115123125783e-17,5,5,5,5,10
2021-04-23,-0.004618570641393693,-0.0026185706413936927,-0.004618570641393693,-0.0026185706413936927,0.0011860570207219917,-0.003804627662115685,0.0020000000000000005,2.0000000000000004,2.0000000000000004,0.0,0.0,5,5,5,5,10
2021-04-26,-0.0026907874695464456,-0.0006907874695464456,-0.0026907874695464456,-0.0006907874695464456,0.0005294619183974718,-0.001220249387943917,0.002,2.0,2.0,-5.551115123125783e-17,-5.551115123125783e-17,5,5,5,5,10
2021-04-27,0.004829744629416332,0.006829744629416332,0.004829744629416332,0.006829744629416332,-0.00285955019319219,0.009689294822608522,0.0019999999999999996,1.9999999999999998,1.9999999999999998,-2.7755575615628914e-17,-2.7755575615628914e-17,5,5,5,5,10
2021-04-28,-0.0011363070533937088,0.0008636929466062913,-0.0011363070533937088,0.0008636929466062913,0.005870474466429438,-0.005006781519823146,0.002,2.0,2.0,5.551115123125783e-17,5.551115123125783e-17,5,5,5,5,10
2021-04-30,0.008752683465787916,0.010752683465787916,0.008752683465787916,0.010752683465787916,-0.0021172552486555165,0.012869938714443434,0.002,2.0,2.0,0.0,0.0,5,5,5,5,10
2021-05-06,-0.004876261449995467,-0.002876261449995467,-0.004876261449995466,-0.002876261449995466,0.008222333423060448,-0.011098594873055916,0.002,2.0,2.0,-2.7755575615628914e-17,1.6653345369377348e-16,5,5,5,5,10
2021-05-07,0.01548815703239466,0.01748815703239466,0.01548815703239466,0.01748815703239466,0.010787417673645073,0.0067007393587495915,0.002,2.0,2.0,0.0,0.0,5,5,5,5,10
2021-05-10,-0.0027325631387139396,-0.00073256313871394,-0.002732563138713942,-0.0007325631387139417,0.007456971196485931,-0.008189534335199871,0.0019999999999999996,1.9999999999999998,2.0000000000000004,-1.3877787807814457e-17,0.0,5,5,5,5,10
2021-05-11,0.018640027039459793,0.02064002703945979,0.018640027039459793,0.020640027039459795,-0.0038252523442117094,0.024465279383671504,0.002,2.0,2.0,-2.7755575615628914e-17,1.3877787807814457e-16,5,5,5,5,10
2021-05-12,0.0055637892916662384,0.0075637892916662385,0.0055637892916662384,0.0075637892916662385,-0.008752205476914968,0.016315994768581206,0.002,2.0,2.0,-2.7755575615628914e-17,-2.7755575615628914e-17,5,5,5,5,10
2021-05-13,0.007333168366501341,0.00933316836650134,0.007333168366501341,0.00933316836650134,0.0037854890660898094,0.005547679300411531,0.0019999999999999996,1.9999999999999998,1.9999999999999998,5.551115123125783e-17,5.551115123125783e-17,5,5,5,5,10
2021-05-14,0.026050243252559495,0.028050243252559497,0.026050243252559495,0.028050243252559497,0.014859606373010486,0.013190636879549009,0.002,2.0,2.0,2.7755575615628914e-17,2.7755575615628914e-17,5,5,5,5,10
2021-05-17,0.012171231481072072,0.014171231481072072,0.012171231481072072,0.014171231481072072,-0.001222862748452084,0.015394094229524157,0.002,2.0,2.0,0.0,0.0,5,5,5,5,10
