group,n,mean_directional_return,std_directional_return,positive_rate,scenario,basis,margin_bps
filled,23726,0.001558377670934376,0.01084638382109252,0.44702014667453427,prev_close_+0bps_slip,prev_close,0
not_filled,3334,0.007598858316803348,0.010636168524259708,0.7591481703659269,prev_close_+0bps_slip,prev_close,0
filled,23726,0.001558377670934376,0.01084638382109252,0.44702014667453427,prev_close_+0bps_renorm_noslip,prev_close,0
not_filled,3334,0.007598858316803348,0.010636168524259708,0.7591481703659269,prev_close_+0bps_renorm_noslip,prev_close,0
filled,23726,0.001558377670934376,0.01084638382109252,0.44702014667453427,prev_close_+0bps_renorm_slip,prev_close,0
not_filled,3334,0.007598858316803348,0.010636168524259708,0.7591481703659269,prev_close_+0bps_renorm_slip,prev_close,0
filled,20665,0.001353447886785532,0.011268951354675474,0.4707960319380595,prev_close_+5bps_noslip,prev_close,5
not_filled,6395,0.005369767266362527,0.00945787237925405,0.5329163408913213,prev_close_+5bps_noslip,prev_close,5
filled,20665,0.001353447886785532,0.011268951354675474,0.4707960319380595,prev_close_+5bps_slip,prev_close,5
not_filled,6395,0.005369767266362527,0.00945787237925405,0.5329163408913213,prev_close_+5bps_slip,prev_close,5
filled,20665,0.001353447886785532,0.011268951354675474,0.4707960319380595,prev_close_+5bps_renorm_noslip,prev_close,5
not_filled,6395,0.005369767266362527,0.00945787237925405,0.5329163408913213,prev_close_+5bps_renorm_noslip,prev_close,5
filled,20665,0.001353447886785532,0.011268951354675474,0.4707960319380595,prev_close_+5bps_renorm_slip,prev_close,5
not_filled,6395,0.005369767266362527,0.00945787237925405,0.5329163408913213,prev_close_+5bps_renorm_slip,prev_close,5
filled,20321,0.0012898128625912176,0.011288562848859181,0.46734904778308156,prev_close_+10bps_noslip,prev_close,10
not_filled,6739,0.005356636751460937,0.0094500371598982,0.5401394865707079,prev_close_+10bps_noslip,prev_close,10
filled,20321,0.0012898128625912176,0.011288562848859181,0.46734904778308156,prev_close_+10bps_slip,prev_close,10
not_filled,6739,0.005356636751460937,0.0094500371598982,0.5401394865707079,prev_close_+10bps_slip,prev_close,10
filled,20321,0.0012898128625912176,0.011288562848859181,0.46734904778308156,prev_close_+10bps_renorm_noslip,prev_close,10
not_filled,6739,0.005356636751460937,0.0094500371598982,0.5401394865707079,prev_close_+10bps_renorm_noslip,prev_close,10
filled,20321,0.0012898128625912176,0.011288562848859181,0.46734904778308156,prev_close_+10bps_renorm_slip,prev_close,10
not_filled,6739,0.005356636751460937,0.0094500371598982,0.5401394865707079,prev_close_+10bps_renorm_slip,prev_close,10
filled,19467,0.0011540466000718084,0.011402518506515668,0.4597524014999743,prev_close_+20bps_noslip,prev_close,20
not_filled,7593,0.005247311614014682,0.009269949815032442,0.5514289477150006,prev_close_+20bps_noslip,prev_close,20
filled,19467,0.0011540466000718084,0.011402518506515668,0.4597524014999743,prev_close_+20bps_slip,prev_close,20
not_filled,7593,0.005247311614014682,0.009269949815032442,0.5514289477150006,prev_close_+20bps_slip,prev_close,20
filled,19467,0.0011540466000718084,0.011402518506515668,0.4597524014999743,prev_close_+20bps_renorm_noslip,prev_close,20
not_filled,7593,0.005247311614014682,0.009269949815032442,0.5514289477150006,prev_close_+20bps_renorm_noslip,prev_close,20
filled,19467,0.0011540466000718084,0.011402518506515668,0.4597524014999743,prev_close_+20bps_renorm_slip,prev_close,20
not_filled,7593,0.005247311614014682,0.009269949815032442,0.5514289477150006,prev_close_+20bps_renorm_slip,prev_close,20
