,gross_linear,gross_gp,net_linear,net_gp,kappa
2022-06-27,-0.01355366780916803,-0.01292224704248628,-0.01555366780916803,-0.01492224704248628,0.9534132918430654
2022-06-28,0.010222531455977377,0.009781602639043388,0.008222531455977377,0.007781602639043388,0.9568669640359807
2022-06-29,0.006738751055719006,0.006459127274652779,0.004738751055719006,0.004459127274652779,0.9585051029850825
2022-06-30,0.0024844193337427,0.002388207656149692,0.00048441933374269996,0.0003882076561496921,0.9612739780735533
2022-07-01,0.012817236862658734,0.012351895409979583,0.010817236862658734,0.010351895409979583,0.9636940896337135
2022-07-04,0.009814825798346442,0.00945807234872528,0.007814825798346442,0.007458072348725279,0.9636515759982955
2022-07-06,-0.009423988491306195,-0.009092098781110315,-0.011423988491306195,-0.011092098781110315,0.9647824580322809
2022-07-07,0.0029247885766464114,0.0028271445909203597,0.0009247885766464113,0.0008271445909203597,0.9666150276619274
2022-07-08,0.000665639599989841,0.0006438416131906628,-0.001334360400010159,-0.0013561583868093373,0.9672525691087028
2022-07-11,0.00572134003124025,0.005543297402763247,0.00372134003124025,0.003543297402763247,0.9688809566456746
2022-07-12,0.019725396965630703,0.019129301238737163,0.017725396965630705,0.01712930123873716,0.9697802924862717
2022-07-13,0.014877311248357363,0.014446453649964976,0.012877311248357363,0.012446453649964976,0.9710392831607956
2022-07-14,0.007528508966494546,0.0073189455482309245,0.0055285089664945455,0.0053189455482309245,0.9721640208975937
2022-07-15,0.018357578444587325,0.01786314449319707,0.016357578444587323,0.01586314449319707,0.9730664938797505
2022-07-19,-0.00256428391933278,-0.002489990413824804,-0.004564283919332781,-0.0044899904138248035,0.971027582028706
2022-07-20,0.009948989174759278,0.0096373911909512,0.007948989174759278,0.0076373911909512,0.9686804379485499
2022-07-21,0.007341099777562195,0.007120119713885968,0.005341099777562195,0.005120119713885968,0.9698982345463216
2022-07-22,-0.005287055055513255,-0.005132630171723794,-0.007287055055513255,-0.007132630171723794,0.9707918903495378
2022-07-25,0.00439383415899362,0.004268468597552824,0.0023938341589936196,0.002268468597552824,0.9714678440504658
2022-07-26,0.004850918262477957,0.004716027508306347,0.002850918262477957,0.002716027508306347,0.972192738184233
2022-07-27,-0.0026748314575573053,-0.0026022225286571306,-0.004674831457557305,-0.004602222528657131,0.972854764850686
2022-07-28,-0.014470724771499948,-0.014041766994346573,-0.016470724771499946,-0.016041766994346573,0.9703568560713554
2022-07-29,0.006961042661401829,0.006743767988480185,0.004961042661401829,0.004743767988480185,0.9687870505195425
2022-08-01,-0.00019417202462472343,-0.0001882856953921492,-0.0021941720246247236,-0.002188285695392149,0.9696849778234015
2022-08-02,0.006944219353932888,0.006742704533220056,0.004944219353932888,0.004742704533220056,0.9709809252211048
2022-08-03,-0.0019657821184534867,-0.0019101278920604092,-0.003965782118453487,-0.003910127892060409,0.971688507149072
2022-08-04,0.0011648020442235054,0.0011317469878810219,-0.0008351979557764946,-0.0008682530121189782,0.9716217390702475
2022-08-05,0.0010782328128615393,0.0010486127069948697,-0.0009217671871384607,-0.0009513872930051303,0.9725290257230637
2022-08-08,0.006698710136116207,0.006520316683914755,0.004698710136116207,0.004520316683914755,0.9733689846886131
2022-08-09,0.00327849672812132,0.0031939947512300056,0.0012784967281213198,0.0011939947512300056,0.9742253892869562
2022-08-10,0.003364169096439607,0.00327957128650507,0.0013641690964396069,0.0012795712865050698,0.9748532824868793
2022-08-12,0.01362834233071938,0.01326260214980369,0.01162834233071938,0.01126260214980369,0.9731632672528865
2022-08-15,-0.0053707699423456,-0.0052187288852989806,-0.0073707699423456,-0.007218728885298981,0.9716910128940994
2022-08-16,0.0028355562571954845,0.0027576333712315496,0.0008355562571954844,0.0007576333712315496,0.9725193651982046
2022-08-17,0.008254880720383679,0.008036577934524806,0.006254880720383679,0.006036577934524806,0.9735547013635432
2022-08-18,0.008456892517233874,0.008234074501712863,0.006456892517233874,0.006234074501712863,0.9736524952792128
2022-08-19,0.00106663339246854,0.0010393746398310842,-0.00093336660753146,-0.0009606253601689158,0.9744441221980035
2022-08-22,0.0008260051255356247,0.0008044259825191902,-0.0011739948744643753,-0.0011955740174808098,0.9738752916303742
2022-08-23,0.0006568293818743219,0.0006376501893757443,-0.0013431706181256781,-0.0013623498106242558,0.9708003432430984
2022-08-24,0.0002536238425289187,0.0002463696612883296,-0.0017463761574710813,-0.0017536303387116704,0.9713978734481047
2022-08-25,0.007947405223397295,0.007728592423180788,0.005947405223397295,0.005728592423180788,0.9724673910457822
2022-08-26,0.004533625323860488,0.00440568400933175,0.002533625323860488,0.0024056840093317497,0.9717794688821366
2022-08-29,0.002530170481687014,0.0024425752390733993,0.000530170481687014,0.00044257523907339927,0.9653797073171093
