,1617.T,1618.T,1619.T,1620.T,1621.T,1622.T,1623.T,1624.T,1625.T,1626.T,1627.T,1628.T,1629.T,1630.T,1631.T,1632.T,1633.T
2021-11-10,0.18414809891815115,-0.20862988678769917,0.0,-0.15799889495804612,-0.23581247357447563,0.0,0.2824831533259099,0.0,0.0,0.0,0.0,0.16071581401616458,-0.20574413567842958,0.1779076941661612,-0.1918146090013495,0.0,0.1947452395736131
2021-11-11,0.14456635340076018,0.0,0.29103399871214347,0.1265190482861837,0.0,-0.1356032817922905,0.0,0.0,0.09412501844620748,-0.19671460279111003,0.0,0.0,-0.11717008929791725,0.09375558115470514,-0.0824105580947604,-0.2181014680239218,0.0
2021-11-12,0.0,0.0,-0.18887554170322918,-0.26835446501987464,-0.07246530311875424,-0.21533541120414418,0.0,0.0,0.0925963846711996,0.0,0.0,0.15500044129199603,-0.25496927895399774,0.3322000915489631,0.08829743058766612,0.3319056519001752,0.0
2021-11-15,0.20554354346324977,0.0,-0.1545750825193758,0.0,-0.06725198207534153,0.0,0.12177101168711543,0.0,-0.11321410172249066,0.0,0.0,0.046706999670855946,-0.1614757582998635,0.20622254428351344,-0.25348307538292847,0.16975590089526546,0.0
2021-11-16,0.23671434255967871,0.0,0.0,0.0,-0.13040760561871717,-0.14151844598133306,0.0,0.14207668521955205,0.0,0.0,0.1044768106436025,0.0,-0.23857149938975925,0.11225003895486708,-0.11667537113232121,-0.12282707787786934,0.15448212262229966
2021-11-17,0.0,0.0,-0.17579828991886967,0.0,0.12833876106965733,-0.17542176877710303,0.0,0.3621497916222177,-0.2708957796863473,0.13455106067909825,-0.2260186367687586,0.0,0.0,0.11418066285386924,-0.15186552484892138,0.0,0.26077972377515746
2021-11-18,0.0,0.10719986674155824,0.07106614533289343,0.0,-0.14599560053410102,0.0,-0.09314574358337412,-0.12241344253275556,-0.26300335738347125,-0.12544185596629806,0.0,0.20907157310021973,0.0,0.3078487027188713,0.0,0.0,0.05481371210645727
2021-11-19,0.0,0.0,-0.15858270212860998,-0.0897261916743381,0.0,0.12168796897836825,-0.1382078725365873,0.1124834567735617,0.0,0.23652559965703107,-0.15957661186050276,0.13004443000925342,-0.20390662179996183,0.0,0.0,0.14925854458178547,0.0
2021-11-22,0.0,0.2340374811238607,-0.3491407064842504,0.0,0.0,0.0,0.08599703357888855,0.0,-0.07857985396607206,0.13789897636805915,-0.05819293754978304,0.0,-0.14420157263444952,0.21989130656201095,0.07217520236718071,-0.11988492936544493,0.0
2021-11-24,0.334599359686263,-0.11883617152334812,0.1124222092785976,0.3578554814404733,-0.1041903744383927,0.0,0.09903575511940502,0.09608719447526118,-0.2046334932487047,0.0,0.0,0.0,-0.2011494014187994,-0.37119055937075507,0.0,0.0,0.0
2021-11-25,0.11344549210617601,0.24841961554537426,0.0,0.0,-0.18952120202050007,-0.29721498104561495,0.0,0.0,-0.15884373893972803,-0.26169047644821575,0.0,0.14435173820937044,-0.09272960154594105,0.18148850204013686,0.0,0.0,0.3122946520989423
2021-11-29,-0.25922305037320365,0.3068893836113878,0.0,0.0,0.1500914798233485,0.1205578309011895,0.1682611272343452,0.0,-0.2873068946693236,-0.1867825278943522,0.0,0.254200178429729,0.0,0.0,-0.09650710047309782,-0.17018042659002286,0.0
2021-11-30,0.0,0.0,0.13704147358920124,-0.13350307966439348,-0.2854567386741414,0.0,0.0,-0.11040703923131501,0.2120265175550268,0.27140294621306227,0.0,0.16198048339098667,-0.19332797852253186,0.0,0.0,-0.27730516390761834,0.21754857925172308
