,1617.T,1618.T,1619.T,1620.T,1621.T,1622.T,1623.T,1624.T,1625.T,1626.T,1627.T,1628.T,1629.T,1630.T,1631.T,1632.T,1633.T
2020-02-14,0.0004042704788159623,0.24987034641206232,-0.24985731827133484,0.0,0.0,0.00011434387293460459,-0.24985731827133484,-0.12795784331299592,-0.24985731827133484,0.0,0.24987034641206232,0.24987034641206232,-0.00012818174256880186,0.24987034641206232,0.0,0.0,-0.12234202013043059
2020-02-17,0.24987809101135572,-0.0002784322081543413,0.00048763595457699415,0.0,0.0,-0.2498784285446019,-0.24987842854460213,0.24987809101135577,0.0,0.0,0.0,0.24987809101135577,-0.0002078536134374576,0.24987809101135577,-0.24987842854460213,-0.24987842854460213,0.0
2020-02-19,0.0,0.24987449277021193,-0.24988915188467165,0.000338261047489117,0.0,-0.24988915188467165,-0.24988915188467165,0.0001637678716631729,0.24987449277021193,0.24987449277021193,0.24987449277021187,-0.24988915188467165,0.0,0.0,0.0,0.0,-0.0004433924613133147
2020-02-20,0.0,0.24991811503732975,0.24991811503732997,0.0,0.0,-0.24985911379467585,-0.0005635448212971857,0.0,0.0,0.00032753985068057265,0.0,0.2499181150373297,-0.2498591137946758,0.0,0.24991811503733002,-0.2498591137946756,-0.24985911379467562
2020-02-21,0.00043634215046743733,-0.00036975955993930135,0.00011967358919408465,0.0,-0.24984655252553079,-0.24984655252553098,0.0002468519109842317,0.0,0.2498639393811408,-0.0002440303379371293,0.24986393938114151,-0.249846552525531,0.24986393938114151,0.24960531420593066,-0.24984655252553092,0.0,0.0
2020-02-25,0.0,0.000391663089944966,0.0,0.0,-0.0003925784482838597,-0.0001324042563381244,0.0,0.24990208422751395,0.24990208422751356,0.24990208422751395,0.0,0.0,-0.24986875432384476,-0.24986875432384476,-0.24986875432384398,0.24990208422751367,-0.24986875432384448
2020-02-26,-0.2498972649119403,0.2498672510778964,-0.00041094035223395033,0.0,0.0,0.2498672510778964,0.2498672510778964,-0.24989726491194186,8.917922024501825e-05,-0.24989726491194186,0.0,0.0,0.0,-0.24989726491194186,0.24986725107789598,0.00044181646816962783,0.0
2020-02-27,0.0,0.2498893789818075,0.0,-0.24990579298165203,-0.08021905637560325,0.24988937898180738,0.24988937898180752,-0.24990579298165191,0.0,-0.24990579298165186,0.0,0.0,0.2498893789818075,0.0,0.00044248407277006915,-0.1700635646794409,0.0
2020-02-28,-0.00029638967431063525,0.24985661740205126,-0.00014275463057968177,-0.2498902139237777,0.0,0.2498566174020507,0.24985661740205126,-0.24989021392377675,-0.24989021392377764,-0.24989021392377758,0.0,0.0005735303917959934,0.0,0.0,0.24985661740205076,0.0,0.0
2020-03-02,0.0,-0.24986638807973788,0.0,0.0,0.24988495176794487,-0.24986638807973788,0.0,0.24988495176794487,-0.24986638807973788,-0.24986638807973788,0.2498849517679442,-0.0005344476810483736,0.00011790893073639034,0.00034228399748466136,0.24988495176794487,0.0,0.0
2020-03-03,-0.0005456406876819343,0.0,0.0,0.0,0.2498890731152517,0.0,0.0,0.0004108826765142428,-0.24986358982807938,-0.24986358982807932,0.24988907311525163,0.0,-0.2498635898280795,-0.2498635898280795,0.24973068759491662,0.2498890731152517,0.00019121038281388997
2020-03-04,0.0004243405884467865,-0.2498721151360139,-0.0003614739090560084,0.0,0.0,-0.2498721151360139,0.24989391485288837,0.24989391485288842,0.0,0.0,-0.2498721151360139,0.0,-0.2498721151360139,0.24989391485288814,-0.0001500655468884497,0.0,0.24989391485288848
